Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06065040821,Census Tract 408.21; Riverside County; California,5773,541,36.5,3.6
1400000US06065040901,Census Tract 409.01; Riverside County; California,8276,961,34.1,2.4
1400000US06065040902,Census Tract 409.02; Riverside County; California,5191,506,44.1,3.4
1400000US06065040903,Census Tract 409.03; Riverside County; California,2956,421,34.2,2.5
1400000US06065040904,Census Tract 409.04; Riverside County; California,3902,463,33.2,5.0
1400000US06065041001,Census Tract 410.01; Riverside County; California,2774,608,27.6,2.3
1400000US06065041002,Census Tract 410.02; Riverside County; California,3241,420,30.1,3.5
1400000US06065041003,Census Tract 410.03; Riverside County; California,2653,514,36.5,5.4
1400000US06065041004,Census Tract 410.04; Riverside County; California,4208,420,33.7,2.1
1400000US06065041101,Census Tract 411.01; Riverside County; California,5489,791,23.7,3.2
1400000US06065041102,Census Tract 411.02; Riverside County; California,4657,894,31.6,1.9
1400000US06065041201,Census Tract 412.01; Riverside County; California,3765,422,35.0,7.5
1400000US06065041202,Census Tract 412.02; Riverside County; California,5036,676,32.7,3.3
1400000US06065041203,Census Tract 412.03; Riverside County; California,3638,522,30.4,2.2
1400000US06065041301,Census Tract 413.01; Riverside County; California,3834,645,32.6,4.0
1400000US06065041302,Census Tract 413.02; Riverside County; California,4347,733,28.1,5.4
1400000US06065041403,Census Tract 414.03; Riverside County; California,4501,568,37.7,2.0
1400000US06065041404,Census Tract 414.04; Riverside County; California,3775,490,35.3,2.8
1400000US06065041405,Census Tract 414.05; Riverside County; California,5542,1143,30.6,3.2
1400000US06065041406,Census Tract 414.06; Riverside County; California,6422,860,31.7,1.0
1400000US06065041407,Census Tract 414.07; Riverside County; California,6080,801,32.4,2.4
1400000US06065041408,Census Tract 414.08; Riverside County; California,4412,665,34.8,4.9
1400000US06065041410,Census Tract 414.10; Riverside County; California,3044,423,31.3,3.1
1400000US06065041411,Census Tract 414.11; Riverside County; California,3013,379,35.3,4.9
1400000US06065041412,Census Tract 414.12; Riverside County; California,5578,654,41.7,3.7
1400000US06065041413,Census Tract 414.13; Riverside County; California,5861,642,40.0,5.5
1400000US06065041414,Census Tract 414.14; Riverside County; California,3928,897,44.3,4.9
1400000US06065041415,Census Tract 414.15; Riverside County; California,4450,670,37.6,1.2
1400000US06065041500,Census Tract 415; Riverside County; California,3406,497,33.5,1.0
1400000US06065041601,Census Tract 416.01; Riverside County; California,2308,354,36.6,5.5
1400000US06065041602,Census Tract 416.02; Riverside County; California,3853,1005,29.6,6.1
1400000US06065041702,Census Tract 417.02; Riverside County; California,5138,826,38.1,5.0
1400000US06065041703,Census Tract 417.03; Riverside County; California,6291,667,25.8,1.8
1400000US06065041704,Census Tract 417.04; Riverside County; California,3531,324,29.6,4.2
1400000US06065041803,Census Tract 418.03; Riverside County; California,5909,490,39.6,2.6
1400000US06065041804,Census Tract 418.04; Riverside County; California,4648,729,37.0,3.4
1400000US06065041805,Census Tract 418.05; Riverside County; California,5840,598,31.7,2.7
1400000US06065041806,Census Tract 418.06; Riverside County; California,4856,930,37.2,2.4
1400000US06065041807,Census Tract 418.07; Riverside County; California,2567,316,36.6,3.4
1400000US06065041808,Census Tract 418.08; Riverside County; California,7373,721,40.9,2.6
1400000US06065041809,Census Tract 418.09; Riverside County; California,4749,462,43.4,3.8
1400000US06065041810,Census Tract 418.10; Riverside County; California,5656,779,38.2,5.6
1400000US06065041812,Census Tract 418.12; Riverside County; California,3145,359,38.5,3.2
1400000US06065041813,Census Tract 418.13; Riverside County; California,7121,720,34.5,5.3
1400000US06065041904,Census Tract 419.04; Riverside County; California,5038,631,37.5,4.4
1400000US06065041905,Census Tract 419.05; Riverside County; California,2894,434,32.0,4.0
1400000US06065041906,Census Tract 419.06; Riverside County; California,6289,850,31.3,2.2
1400000US06065041909,Census Tract 419.09; Riverside County; California,5868,817,35.7,1.3
1400000US06065041910,Census Tract 419.10; Riverside County; California,7643,1226,37.9,9.1
1400000US06065041912,Census Tract 419.12; Riverside County; California,6313,1103,37.3,2.9
1400000US06065041913,Census Tract 419.13; Riverside County; California,5046,541,38.5,3.0
1400000US06065041914,Census Tract 419.14; Riverside County; California,5965,717,34.4,2.2
1400000US06065041915,Census Tract 419.15; Riverside County; California,9023,1312,43.6,5.0
1400000US06065042003,Census Tract 420.03; Riverside County; California,6776,957,36.4,3.1
1400000US06065042004,Census Tract 420.04; Riverside County; California,4733,1526,45.2,8.3
1400000US06065042005,Census Tract 420.05; Riverside County; California,5202,632,40.0,2.1
1400000US06065042007,Census Tract 420.07; Riverside County; California,5585,728,45.9,6.1
1400000US06065042008,Census Tract 420.08; Riverside County; California,8481,978,40.5,3.9
1400000US06065042009,Census Tract 420.09; Riverside County; California,7697,1196,35.0,2.0
1400000US06065042010,Census Tract 420.10; Riverside County; California,5902,840,31.4,3.0
1400000US06065042012,Census Tract 420.12; Riverside County; California,6966,766,32.6,2.2
1400000US06065042015,Census Tract 420.15; Riverside County; California,5648,1130,35.7,2.5
1400000US06065042016,Census Tract 420.16; Riverside County; California,2342,308,36.2,4.4
1400000US06065042017,Census Tract 420.17; Riverside County; California,3624,677,35.3,4.8
1400000US06065042018,Census Tract 420.18; Riverside County; California,6453,692,36.9,4.6
1400000US06065042206,Census Tract 422.06; Riverside County; California,5717,738,33.3,3.0
1400000US06065042207,Census Tract 422.07; Riverside County; California,2720,370,51.5,3.2
1400000US06065042208,Census Tract 422.08; Riverside County; California,2897,592,38.5,6.8
1400000US06065042209,Census Tract 422.09; Riverside County; California,4785,568,23.0,1.4
1400000US06065042210,Census Tract 422.10; Riverside County; California,5093,760,26.0,1.7
1400000US06065042212,Census Tract 422.12; Riverside County; California,8261,1241,32.5,2.5
1400000US06065042213,Census Tract 422.13; Riverside County; California,3261,366,30.7,2.5
1400000US06065042214,Census Tract 422.14; Riverside County; California,6371,608,34.2,4.3
1400000US06065042217,Census Tract 422.17; Riverside County; California,4785,541,36.8,1.6
1400000US06065042300,Census Tract 423; Riverside County; California,10183,1420,31.5,2.3
1400000US06065042401,Census Tract 424.01; Riverside County; California,2031,199,41.9,4.0
1400000US06065042402,Census Tract 424.02; Riverside County; California,5658,1035,31.1,1.7
1400000US06065042403,Census Tract 424.03; Riverside County; California,5395,1494,33.7,3.0
1400000US06065042404,Census Tract 424.04; Riverside County; California,2408,376,30.8,4.8
1400000US06065042405,Census Tract 424.05; Riverside County; California,4778,596,27.2,1.8
1400000US06065042406,Census Tract 424.06; Riverside County; California,4778,712,32.9,3.3
1400000US06065042407,Census Tract 424.07; Riverside County; California,3358,486,33.0,1.4
1400000US06065042408,Census Tract 424.08; Riverside County; California,3037,327,34.2,5.0
1400000US06065042409,Census Tract 424.09; Riverside County; California,4036,798,35.1,1.6
1400000US06065042410,Census Tract 424.10; Riverside County; California,5940,622,31.1,2.3
1400000US06065042411,Census Tract 424.11; Riverside County; California,2614,336,33.1,7.0
1400000US06065042412,Census Tract 424.12; Riverside County; California,4646,541,41.0,3.3
1400000US06065042505,Census Tract 425.05; Riverside County; California,3279,480,30.2,5.7
1400000US06065042507,Census Tract 425.07; Riverside County; California,5425,582,30.2,1.5
1400000US06065042508,Census Tract 425.08; Riverside County; California,6109,982,27.9,3.0
1400000US06065042509,Census Tract 425.09; Riverside County; California,3237,372,31.1,3.0
1400000US06065042510,Census Tract 425.10; Riverside County; California,5458,926,30.4,2.8
1400000US06065042511,Census Tract 425.11; Riverside County; California,3913,567,31.3,3.8
1400000US06065042512,Census Tract 425.12; Riverside County; California,3723,561,29.0,2.6
1400000US06065042513,Census Tract 425.13; Riverside County; California,2986,338,37.4,5.8
1400000US06065042514,Census Tract 425.14; Riverside County; California,3420,434,29.4,2.1
1400000US06065042515,Census Tract 425.15; Riverside County; California,3454,523,28.5,0.9
1400000US06065042516,Census Tract 425.16; Riverside County; California,3639,534,30.4,3.1
1400000US06065042517,Census Tract 425.17; Riverside County; California,3323,620,30.2,5.1
1400000US06065042518,Census Tract 425.18; Riverside County; California,3196,335,32.5,2.9
1400000US06065042519,Census Tract 425.19; Riverside County; California,1981,359,27.6,4.8
1400000US06065042520,Census Tract 425.20; Riverside County; California,5253,1110,30.1,4.7
1400000US06065042521,Census Tract 425.21; Riverside County; California,5585,658,26.5,3.0
1400000US06065042522,Census Tract 425.22; Riverside County; California,3559,363,30.0,2.3
1400000US06065042523,Census Tract 425.23; Riverside County; California,5360,1035,30.1,3.4
1400000US06065042621,Census Tract 426.21; Riverside County; California,8231,910,33.2,2.1
1400000US06065042622,Census Tract 426.22; Riverside County; California,4977,768,35.2,2.6
1400000US06065042623,Census Tract 426.23; Riverside County; California,3737,688,38.5,4.9
1400000US06065042624,Census Tract 426.24; Riverside County; California,5110,958,35.1,7.1
1400000US06065042625,Census Tract 426.25; Riverside County; California,6432,1195,32.7,4.7
1400000US06065042626,Census Tract 426.26; Riverside County; California,9239,1011,30.3,3.1
1400000US06065042627,Census Tract 426.27; Riverside County; California,4877,556,31.2,2.4
1400000US06065042628,Census Tract 426.28; Riverside County; California,4919,811,30.4,3.6
1400000US06065042629,Census Tract 426.29; Riverside County; California,6361,1998,32.0,5.1
1400000US06065042630,Census Tract 426.30; Riverside County; California,7249,1756,31.3,3.1
1400000US06065042631,Census Tract 426.31; Riverside County; California,5101,733,30.2,1.3
1400000US06065042632,Census Tract 426.32; Riverside County; California,3589,969,30.4,6.2
1400000US06065042708,Census Tract 427.08; Riverside County; California,5515,731,33.7,2.0
1400000US06065042709,Census Tract 427.09; Riverside County; California,4781,733,52.8,3.4
1400000US06065042711,Census Tract 427.11; Riverside County; California,4000,372,68.8,2.9
1400000US06065042714,Census Tract 427.14; Riverside County; California,3238,430,46.6,5.3
1400000US06065042716,Census Tract 427.16; Riverside County; California,5995,583,40.8,4.2
1400000US06065042717,Census Tract 427.17; Riverside County; California,6334,1301,29.9,1.5
1400000US06065042719,Census Tract 427.19; Riverside County; California,5598,684,30.4,2.9
1400000US06065042720,Census Tract 427.20; Riverside County; California,5308,1404,37.0,6.4
1400000US06065042723,Census Tract 427.23; Riverside County; California,7436,1829,32.7,1.9
1400000US06065042724,Census Tract 427.24; Riverside County; California,5403,745,29.8,1.0
1400000US06065042726,Census Tract 427.26; Riverside County; California,11414,1778,31.1,2.4
1400000US06065042728,Census Tract 427.28; Riverside County; California,2433,449,35.6,6.5
1400000US06065042730,Census Tract 427.30; Riverside County; California,5821,605,32.7,1.5
1400000US06065042731,Census Tract 427.31; Riverside County; California,8792,1529,41.9,2.1
1400000US06065042732,Census Tract 427.32; Riverside County; California,6941,954,31.8,1.8
1400000US06065042733,Census Tract 427.33; Riverside County; California,13747,1718,33.4,2.8
1400000US06065042737,Census Tract 427.37; Riverside County; California,3758,468,32.5,2.8
1400000US06065042738,Census Tract 427.38; Riverside County; California,8664,1037,31.2,1.3
1400000US06065042739,Census Tract 427.39; Riverside County; California,8714,806,34.1,2.2
1400000US06065042740,Census Tract 427.40; Riverside County; California,1877,173,72.0,3.0
1400000US06065042741,Census Tract 427.41; Riverside County; California,2340,427,72.3,1.2
1400000US06065042742,Census Tract 427.42; Riverside County; California,6726,834,33.2,5.3
1400000US06065042743,Census Tract 427.43; Riverside County; California,4498,609,34.2,3.2
1400000US06065042744,Census Tract 427.44; Riverside County; California,4504,790,31.7,5.5
1400000US06065042745,Census Tract 427.45; Riverside County; California,6804,1080,43.5,4.2
1400000US06065042746,Census Tract 427.46; Riverside County; California,4128,654,30.3,4.3
1400000US06065042747,Census Tract 427.47; Riverside County; California,4373,853,27.7,2.9
1400000US06065042748,Census Tract 427.48; Riverside County; California,5462,874,34.2,3.7
1400000US06065042749,Census Tract 427.49; Riverside County; California,4659,781,33.3,3.0
1400000US06065042750,Census Tract 427.50; Riverside County; California,3380,415,39.2,5.1
1400000US06065042751,Census Tract 427.51; Riverside County; California,6134,1619,43.7,10.5
1400000US06065042752,Census Tract 427.52; Riverside County; California,4718,634,58.0,11.8
1400000US06065042801,Census Tract 428.01; Riverside County; California,4724,1087,27.9,1.1
1400000US06065042802,Census Tract 428.02; Riverside County; California,5847,799,27.2,3.7
1400000US06065042902,Census Tract 429.02; Riverside County; California,4334,714,29.9,10.6
1400000US06065042903,Census Tract 429.03; Riverside County; California,5593,675,37.0,4.0
1400000US06065042905,Census Tract 429.05; Riverside County; California,4900,1710,31.8,3.8
1400000US06065042906,Census Tract 429.06; Riverside County; California,6111,1141,29.1,8.9
1400000US06065042907,Census Tract 429.07; Riverside County; California,4308,938,29.9,4.8
1400000US06065042908,Census Tract 429.08; Riverside County; California,4192,1079,32.7,5.2
1400000US06065043001,Census Tract 430.01; Riverside County; California,11689,1534,32.6,2.0
1400000US06065043003,Census Tract 430.03; Riverside County; California,7353,1066,29.5,1.2
1400000US06065043005,Census Tract 430.05; Riverside County; California,5877,795,31.2,3.5
1400000US06065043006,Census Tract 430.06; Riverside County; California,4760,831,32.8,5.6
1400000US06065043007,Census Tract 430.07; Riverside County; California,7421,890,38.0,2.3
1400000US06065043008,Census Tract 430.08; Riverside County; California,5588,744,35.4,3.5
1400000US06065043009,Census Tract 430.09; Riverside County; California,5216,674,31.7,2.5
1400000US06065043010,Census Tract 430.10; Riverside County; California,5257,468,36.2,4.0
1400000US06065043201,Census Tract 432.01; Riverside County; California,3588,530,45.9,7.1
1400000US06065043202,Census Tract 432.02; Riverside County; California,5943,801,40.8,4.0
1400000US06065043203,Census Tract 432.03; Riverside County; California,2904,525,46.3,8.5
1400000US06065043204,Census Tract 432.04; Riverside County; California,8221,1479,34.2,4.2
1400000US06065043205,Census Tract 432.05; Riverside County; California,5503,883,32.1,2.5
1400000US06065043206,Census Tract 432.06; Riverside County; California,7821,954,32.9,4.6
1400000US06065043207,Census Tract 432.07; Riverside County; California,4430,909,33.4,1.5
1400000US06065043208,Census Tract 432.08; Riverside County; California,5232,865,34.3,3.1
1400000US06065043209,Census Tract 432.09; Riverside County; California,3481,411,39.0,2.9
1400000US06065043210,Census Tract 432.10; Riverside County; California,4322,764,50.2,6.7
1400000US06065043211,Census Tract 432.11; Riverside County; California,7289,1406,31.9,6.7
1400000US06065043216,Census Tract 432.16; Riverside County; California,6763,967,34.7,3.4
1400000US06065043217,Census Tract 432.17; Riverside County; California,3358,608,42.2,5.9
1400000US06065043218,Census Tract 432.18; Riverside County; California,5258,455,43.3,3.7
1400000US06065043220,Census Tract 432.20; Riverside County; California,4576,497,31.3,1.5
1400000US06065043222,Census Tract 432.22; Riverside County; California,5104,686,39.2,4.7
1400000US06065043227,Census Tract 432.27; Riverside County; California,8370,1239,32.5,3.5
1400000US06065043228,Census Tract 432.28; Riverside County; California,4619,537,30.7,1.9
1400000US06065043229,Census Tract 432.29; Riverside County; California,4378,490,65.6,2.7
1400000US06065043235,Census Tract 432.35; Riverside County; California,11937,993,37.5,3.5
1400000US06065043246,Census Tract 432.46; Riverside County; California,6318,988,38.2,7.5
1400000US06065043248,Census Tract 432.48; Riverside County; California,4235,599,40.7,3.6
1400000US06065043252,Census Tract 432.52; Riverside County; California,10006,1136,37.1,3.2
1400000US06065043254,Census Tract 432.54; Riverside County; California,5201,585,40.6,3.5
1400000US06065043256,Census Tract 432.56; Riverside County; California,3440,498,36.5,3.1
1400000US06065043262,Census Tract 432.62; Riverside County; California,4802,587,37.3,2.7
1400000US06065043264,Census Tract 432.64; Riverside County; California,8096,1279,34.6,2.5
1400000US06065043265,Census Tract 432.65; Riverside County; California,7779,714,33.5,1.5
1400000US06065043266,Census Tract 432.66; Riverside County; California,5698,995,30.8,3.2
1400000US06065043267,Census Tract 432.67; Riverside County; California,5525,547,46.7,4.3
1400000US06065043270,Census Tract 432.70; Riverside County; California,5771,689,37.5,3.8
1400000US06065043271,Census Tract 432.71; Riverside County; California,4969,780,32.3,2.1
1400000US06065043272,Census Tract 432.72; Riverside County; California,5370,756,50.3,8.3
1400000US06065043274,Census Tract 432.74; Riverside County; California,2381,401,33.4,2.7
1400000US06065043276,Census Tract 432.76; Riverside County; California,3118,395,39.0,6.9
1400000US06065043278,Census Tract 432.78; Riverside County; California,6248,592,35.7,1.8
1400000US06065043279,Census Tract 432.79; Riverside County; California,5166,585,38.6,5.2
1400000US06065043292,Census Tract 432.92; Riverside County; California,4104,1085,42.0,7.5
1400000US06065043293,Census Tract 432.93; Riverside County; California,2990,866,60.3,15.2
1400000US06065043294,Census Tract 432.94; Riverside County; California,4707,1035,39.5,8.6
1400000US06065043295,Census Tract 432.95; Riverside County; California,5119,772,35.1,3.0
1400000US06065043296,Census Tract 432.96; Riverside County; California,5419,1139,38.4,4.3
1400000US06065043297,Census Tract 432.97; Riverside County; California,9896,1074,32.0,3.5
1400000US06065043298,Census Tract 432.98; Riverside County; California,5722,912,35.3,8.5
1400000US06065043304,Census Tract 433.04; Riverside County; California,8796,1440,36.7,12.1
1400000US06065043306,Census Tract 433.06; Riverside County; California,5387,563,37.4,4.9
1400000US06065043307,Census Tract 433.07; Riverside County; California,6755,889,42.7,5.7
1400000US06065043308,Census Tract 433.08; Riverside County; California,2550,324,27.8,2.5
1400000US06065043309,Census Tract 433.09; Riverside County; California,3008,472,30.3,3.3
1400000US06065043310,Census Tract 433.10; Riverside County; California,3674,481,31.1,2.8
1400000US06065043311,Census Tract 433.11; Riverside County; California,2390,225,33.7,2.7
1400000US06065043312,Census Tract 433.12; Riverside County; California,4698,1033,27.8,5.7
1400000US06065043313,Census Tract 433.13; Riverside County; California,3599,372,31.5,3.3
1400000US06065043314,Census Tract 433.14; Riverside County; California,4236,776,37.1,8.0
1400000US06065043315,Census Tract 433.15; Riverside County; California,2538,528,37.9,2.2
1400000US06065043316,Census Tract 433.16; Riverside County; California,3524,369,62.8,4.1
1400000US06065043318,Census Tract 433.18; Riverside County; California,6041,2065,33.7,10.7
1400000US06065043319,Census Tract 433.19; Riverside County; California,5742,1123,29.4,1.9
1400000US06065043401,Census Tract 434.01; Riverside County; California,6635,1212,36.2,5.0
1400000US06065043403,Census Tract 434.03; Riverside County; California,3037,688,36.1,7.1
1400000US06065043404,Census Tract 434.04; Riverside County; California,2506,350,60.5,4.0
1400000US06065043405,Census Tract 434.05; Riverside County; California,4907,640,42.6,13.9
1400000US06065043503,Census Tract 435.03; Riverside County; California,3873,552,48.4,6.7
1400000US06065043505,Census Tract 435.05; Riverside County; California,3536,562,63.1,4.6
1400000US06065043506,Census Tract 435.06; Riverside County; California,8192,1447,34.8,5.9
1400000US06065043509,Census Tract 435.09; Riverside County; California,5220,529,35.6,4.3
1400000US06065043512,Census Tract 435.12; Riverside County; California,7543,711,31.7,1.6
1400000US06065043513,Census Tract 435.13; Riverside County; California,3176,353,33.9,3.7
1400000US06065043517,Census Tract 435.17; Riverside County; California,8706,1040,30.1,2.6
1400000US06065043518,Census Tract 435.18; Riverside County; California,5456,2025,31.1,6.0
1400000US06065043519,Census Tract 435.19; Riverside County; California,1221,493,78.6,7.3
1400000US06065043520,Census Tract 435.20; Riverside County; California,2651,812,39.1,10.3
1400000US06065043521,Census Tract 435.21; Riverside County; California,4025,701,32.8,4.0
1400000US06065043522,Census Tract 435.22; Riverside County; California,2610,483,30.5,3.6
1400000US06065043523,Census Tract 435.23; Riverside County; California,3255,450,38.0,10.1
1400000US06065043524,Census Tract 435.24; Riverside County; California,4877,925,37.9,7.7
1400000US06065043601,Census Tract 436.01; Riverside County; California,5444,1342,26.3,3.4
1400000US06065043602,Census Tract 436.02; Riverside County; California,3382,596,30.2,4.7
1400000US06065043701,Census Tract 437.01; Riverside County; California,4113,527,42.2,6.7
1400000US06065043702,Census Tract 437.02; Riverside County; California,4812,619,38.6,4.8
1400000US06065043703,Census Tract 437.03; Riverside County; California,3339,525,30.8,1.0
1400000US06065043802,Census Tract 438.02; Riverside County; California,7232,451,38.8,3.3
1400000US06065043807,Census Tract 438.07; Riverside County; California,7050,1079,31.2,3.7
1400000US06065043809,Census Tract 438.09; Riverside County; California,6730,1064,39.7,6.0
1400000US06065043810,Census Tract 438.10; Riverside County; California,4912,620,54.0,5.5
1400000US06065043812,Census Tract 438.12; Riverside County; California,6375,598,74.7,1.4
1400000US06065043813,Census Tract 438.13; Riverside County; California,3983,692,38.6,4.7
1400000US06065043818,Census Tract 438.18; Riverside County; California,4162,416,36.6,3.7
1400000US06065043820,Census Tract 438.20; Riverside County; California,5932,842,37.4,2.8
1400000US06065043821,Census Tract 438.21; Riverside County; California,5569,562,31.0,4.0
1400000US06065043822,Census Tract 438.22; Riverside County; California,3290,388,31.0,3.0
1400000US06065043823,Census Tract 438.23; Riverside County; California,12388,1335,34.3,2.3
1400000US06065043824,Census Tract 438.24; Riverside County; California,5394,766,59.0,3.8
1400000US06065043900,Census Tract 439; Riverside County; California,6622,846,32.5,2.5
1400000US06065044000,Census Tract 440; Riverside County; California,1939,314,33.4,6.6
1400000US06065044101,Census Tract 441.01; Riverside County; California,2682,422,29.7,1.4
1400000US06065044102,Census Tract 441.02; Riverside County; California,3389,583,32.1,2.9
1400000US06065044103,Census Tract 441.03; Riverside County; California,6256,598,49.0,3.9
1400000US06065044104,Census Tract 441.04; Riverside County; California,2926,504,36.5,4.5
1400000US06065044200,Census Tract 442; Riverside County; California,6077,690,30.7,5.7
1400000US06065044300,Census Tract 443; Riverside County; California,4799,644,33.5,2.9
1400000US06065044403,Census Tract 444.03; Riverside County; California,3663,1127,51.0,6.1
1400000US06065044404,Census Tract 444.04; Riverside County; California,2278,730,42.8,7.3
1400000US06065044405,Census Tract 444.05; Riverside County; California,1425,335,57.5,8.3
1400000US06065044406,Census Tract 444.06; Riverside County; California,2067,388,46.0,9.6
1400000US06065044407,Census Tract 444.07; Riverside County; California,2694,529,50.3,21.6
1400000US06065044505,Census Tract 445.05; Riverside County; California,7432,1721,34.9,4.0
1400000US06065044507,Census Tract 445.07; Riverside County; California,7212,1164,30.4,7.0
1400000US06065044509,Census Tract 445.09; Riverside County; California,5527,1310,26.8,4.1
1400000US06065044510,Census Tract 445.10; Riverside County; California,6340,693,32.3,4.2
1400000US06065044515,Census Tract 445.15; Riverside County; California,4101,797,41.4,8.4
1400000US06065044516,Census Tract 445.16; Riverside County; California,6827,926,38.4,1.3
1400000US06065044517,Census Tract 445.17; Riverside County; California,2784,582,43.9,16.4
1400000US06065044518,Census Tract 445.18; Riverside County; California,7440,1156,35.5,4.0
1400000US06065044520,Census Tract 445.20; Riverside County; California,1163,323,50.4,10.1
1400000US06065044521,Census Tract 445.21; Riverside County; California,1295,337,40.9,4.9
1400000US06065044523,Census Tract 445.23; Riverside County; California,1811,451,58.8,10.8
1400000US06065044524,Census Tract 445.24; Riverside County; California,2573,416,39.9,5.9
1400000US06065044602,Census Tract 446.02; Riverside County; California,2728,612,57.9,4.3
1400000US06065044604,Census Tract 446.04; Riverside County; California,3292,398,55.4,2.1
1400000US06065044605,Census Tract 446.05; Riverside County; California,5927,688,45.1,11.3
1400000US06065044606,Census Tract 446.06; Riverside County; California,2938,553,43.9,13.1
1400000US06065044701,Census Tract 447.01; Riverside County; California,3171,331,47.7,5.8
1400000US06065044702,Census Tract 447.02; Riverside County; California,2149,595,38.6,5.4
1400000US06065044804,Census Tract 448.04; Riverside County; California,2675,479,48.0,5.0
1400000US06065044805,Census Tract 448.05; Riverside County; California,1628,251,61.9,3.4
1400000US06065044806,Census Tract 448.06; Riverside County; California,1754,278,57.5,3.9
1400000US06065044807,Census Tract 448.07; Riverside County; California,1361,230,57.4,2.6
1400000US06065044904,Census Tract 449.04; Riverside County; California,5685,613,41.9,6.1
1400000US06065044907,Census Tract 449.07; Riverside County; California,5101,822,31.5,2.1
1400000US06065044911,Census Tract 449.11; Riverside County; California,4703,786,37.7,10.7
1400000US06065044916,Census Tract 449.16; Riverside County; California,5198,840,36.6,5.5
1400000US06065044917,Census Tract 449.17; Riverside County; California,3980,513,67.3,2.4
1400000US06065044918,Census Tract 449.18; Riverside County; California,2378,279,71.0,3.7
1400000US06065044919,Census Tract 449.19; Riverside County; California,4850,549,69.5,3.5
1400000US06065044921,Census Tract 449.21; Riverside County; California,2842,615,56.7,11.7
1400000US06065044922,Census Tract 449.22; Riverside County; California,6407,772,43.8,6.8
1400000US06065044923,Census Tract 449.23; Riverside County; California,3249,463,44.6,6.3
1400000US06065044924,Census Tract 449.24; Riverside County; California,3018,528,38.8,3.4
1400000US06065044925,Census Tract 449.25; Riverside County; California,3866,855,39.0,1.9
1400000US06065044926,Census Tract 449.26; Riverside County; California,5051,725,38.6,3.8
1400000US06065044927,Census Tract 449.27; Riverside County; California,3587,478,65.3,4.0
1400000US06065044928,Census Tract 449.28; Riverside County; California,4043,481,69.5,2.9
1400000US06065044929,Census Tract 449.29; Riverside County; California,4294,500,61.9,5.1
1400000US06065044930,Census Tract 449.30; Riverside County; California,3443,609,37.3,5.3
1400000US06065044931,Census Tract 449.31; Riverside County; California,2477,372,37.2,4.7
1400000US06065044932,Census Tract 449.32; Riverside County; California,2704,615,45.4,4.9
1400000US06065044933,Census Tract 449.33; Riverside County; California,3525,378,27.2,3.5
1400000US06065044934,Census Tract 449.34; Riverside County; California,2419,384,34.8,7.2
1400000US06065045000,Census Tract 450; Riverside County; California,2931,568,50.2,10.4
1400000US06065045103,Census Tract 451.03; Riverside County; California,3170,362,59.1,2.1
1400000US06065045109,Census Tract 451.09; Riverside County; California,4262,1256,32.3,11.0
1400000US06065045110,Census Tract 451.10; Riverside County; California,5099,739,42.1,7.8
1400000US06065045114,Census Tract 451.14; Riverside County; California,1871,227,69.9,2.3
1400000US06065045115,Census Tract 451.15; Riverside County; California,1781,256,64.7,2.4
1400000US06065045116,Census Tract 451.16; Riverside County; California,1521,281,42.5,5.7
1400000US06065045117,Census Tract 451.17; Riverside County; California,3589,665,44.2,9.8
1400000US06065045118,Census Tract 451.18; Riverside County; California,2448,354,47.9,10.7
1400000US06065045119,Census Tract 451.19; Riverside County; California,2458,412,56.3,5.8
1400000US06065045120,Census Tract 451.20; Riverside County; California,4171,630,49.8,6.7
1400000US06065045122,Census Tract 451.22; Riverside County; California,1380,278,70.1,3.3
1400000US06065045123,Census Tract 451.23; Riverside County; California,2422,422,54.8,7.6
1400000US06065045124,Census Tract 451.24; Riverside County; California,1440,334,60.6,8.0
1400000US06065045125,Census Tract 451.25; Riverside County; California,2258,451,69.5,3.5
1400000US06065045126,Census Tract 451.26; Riverside County; California,3392,1417,37.3,6.0
1400000US06065045127,Census Tract 451.27; Riverside County; California,1960,643,56.9,3.5
1400000US06065045128,Census Tract 451.28; Riverside County; California,1533,260,69.3,3.3
1400000US06065045129,Census Tract 451.29; Riverside County; California,5054,1166,51.5,20.0
1400000US06065045207,Census Tract 452.07; Riverside County; California,5029,634,31.5,2.3
1400000US06065045209,Census Tract 452.09; Riverside County; California,5640,907,34.5,4.1
1400000US06065045212,Census Tract 452.12; Riverside County; California,2247,379,61.2,13.6
1400000US06065045213,Census Tract 452.13; Riverside County; California,5798,1262,35.7,7.7
1400000US06065045214,Census Tract 452.14; Riverside County; California,5657,729,44.2,6.5
1400000US06065045216,Census Tract 452.16; Riverside County; California,2441,375,68.2,1.9
1400000US06065045217,Census Tract 452.17; Riverside County; California,7703,955,34.6,1.8
1400000US06065045222,Census Tract 452.22; Riverside County; California,2263,316,48.0,9.1
1400000US06065045224,Census Tract 452.24; Riverside County; California,5607,1124,44.2,5.5
1400000US06065045226,Census Tract 452.26; Riverside County; California,5874,870,37.2,2.7
1400000US06065045228,Census Tract 452.28; Riverside County; California,7321,1740,38.2,4.5
